"LocationID","area","Zone","service_zone"
190,"Other","Prospect Park","Boro Zone"
191,"Other","Other Village","Boro Zone"
192,"Other","Otherboro Hill","Boro Zone"
193,"Other","Otherbridge/Ravenswood","Boro Zone"
194,"Manhattan","Randalls Island","Yellow Zone"
195,"Other","Red Hook","Boro Zone"
196,"Other","Rego Park","Boro Zone"
197,"Other","Richmond Hill","Boro Zone"
198,"Other","Ridgewood","Boro Zone"
199,"Other","Rikers Island","Boro Zone"
200,"Other","Riverdale/North Riverdale/Fieldston","Boro Zone"
201,"Other","Rockaway Park","Boro Zone"
202,"Manhattan","Roosevelt Island","Boro Zone"
203,"Other","Rosedale","Boro Zone"
204,"Other","Rossville/Woodrow","Boro Zone"
205,"Other","Saint Albans","Boro Zone"
206,"Other","Saint George/New Brighton","Boro Zone"
207,"Other","Saint Michaels Cemetery/Woodside","Boro Zone"
208,"Other","Schuylerville/Edgewater Park","Boro Zone"
209,"Manhattan","Seaport","Yellow Zone"
210,"Other","Sheepshead Bay","Boro Zone"
211,"Manhattan","SoHo","Yellow Zone"
212,"Other","Soundview/Bruckner","Boro Zone"
213,"Other","Soundview/Castle Hill","Boro Zone"
214,"Other","South Beach/Dongan Hills","Boro Zone"
215,"Other","South Jamaica","Boro Zone"
216,"Other","South Ozone Park","Boro Zone"
217,"Other","South Williamsburg","Boro Zone"
218,"Other","Springfield Gardens North","Boro Zone"
219,"Other","Springfield Gardens South","Boro Zone"
220,"Other","Spuyten Duyvil/Kingsbridge","Boro Zone"
221,"Other","Stapleton","Boro Zone"
222,"Other","Starrett City","Boro Zone"
223,"Other","Steinway","Boro Zone"
224,"Manhattan","Stuy Town/Peter Cooper Village","Yellow Zone"
225,"Other","Stuyvesant Heights","Boro Zone"
226,"Other","Sunnyside","Boro Zone"
227,"Other","Sunset Park East","Boro Zone"
228,"Other","Sunset Park West","Boro Zone"
229,"Manhattan","Sutton Place/Turtle Bay North","Yellow Zone"
230,"Manhattan","Times Sq/Theatre District","Yellow Zone"
231,"Manhattan","TriBeCa/Civic Center","Yellow Zone"
232,"Manhattan","Two Bridges/Seward Park","Yellow Zone"
233,"Manhattan","UN/Turtle Bay South","Yellow Zone"
234,"Manhattan","Union Sq","Yellow Zone"
235,"Other","University Heights/Morris Heights","Boro Zone"
236,"Manhattan","Upper East Side North","Yellow Zone"
237,"Manhattan","Upper East Side South","Yellow Zone"
238,"Manhattan","Upper West Side North","Yellow Zone"
239,"Manhattan","Upper West Side South","Yellow Zone"
240,"Other","Van Cortlandt Park","Boro Zone"
241,"Other","Van Cortlandt Village","Boro Zone"
242,"Other","Van Nest/Morris Park","Boro Zone"
243,"Manhattan","Washington Heights North","Boro Zone"
244,"Manhattan","Washington Heights South","Boro Zone"
245,"Other","West Brighton","Boro Zone"
246,"Manhattan","West Chelsea/Hudson Yards","Yellow Zone"
247,"Other","West Concourse","Boro Zone"
248,"Other","West Farms/Other River","Boro Zone"
249,"Manhattan","West Village","Yellow Zone"
250,"Other","Westchester Village/Unionport","Boro Zone"
251,"Other","Westerleigh","Boro Zone"
252,"Other","Whitestone","Boro Zone"
253,"Other","Willets Point","Boro Zone"
254,"Other","Williamsbridge/Olinville","Boro Zone"
255,"Other","Williamsburg (North Side)","Boro Zone"
256,"Other","Williamsburg (South Side)","Boro Zone"
257,"Other","Windsor Terrace","Boro Zone"
258,"Other","Woodhaven","Boro Zone"
259,"Other","Woodlawn/Wakefield","Boro Zone"
260,"Other","Woodside","Boro Zone"
261,"Manhattan","World Trade Center","Yellow Zone"
262,"Manhattan","Yorkville East","Yellow Zone"
263,"Manhattan","Yorkville West","Yellow Zone"

